"","ID","sentences","nchar"
"482","doc 608","file minnesota well fuck good going here minnesota well file intent locate report",178
"483","doc 609","done last night like thanks",55
"484","doc 611","that anyways ball rolling police point know addict told them stuff file intent locate",221
"485","doc 612","friend belinda stockman mentioned interested interview also addict time heroin addict meth addict meth like synthetic drugs think maybe meth",246
"486","doc 614","happened utah drug court caught felonies",121
"487","doc 615","gone olympic team",56
"488","doc 617","messed drugs ended jail",48
"489","doc 622","drive around find",71
"490","doc 623","picked jerrica drove around",43
"491","doc 625","stop talk police gave description",61
"492","doc 627","gotten phone calls knew everything",62
"493","doc 628","knew story file intent locate report picture tell jerrica tell jerrica here done",152
"494","doc 629","fifteen minutes later phone call panicky",67
"495","doc 630","goes police hotel door they knocking want come goes well there drugs here stuff mattress",182
"496","doc 632","police need talk really care drugs police knocking door saying jerrica trying hide drugs really care drugs",216
"497","doc 633","talk chance",38
"498","doc 634","just come picture picture faxed",74
"499","doc 635","talked information leave",63
"500","doc 636","five minutes later said came_back pulled photo ipad said holding",130
"501","doc 637","holding since three morning",54
"502","doc 638","didn_know_didn_know",50
"503","doc 640","know wallet went know clothes went know phone went",113
"504","doc 643","didn_know name didn_know name",57
"505","doc 646","didn_know name unable",47
"506","doc 648","charged public intoxication indecent exposure boxers",90
"507","doc 649","bail just bail",44
"508","doc 650","bail understanding they going release treatment_center",100
"509","doc 651","treatment_center going pick",45
"510","doc 652","time processed like eleven clock wednesday night utah time",89
"511","doc 653","treatment_center goes jail pick",68
"512","doc 656","just couldn find sitting outside jail",53
"513","doc 657","start driving back provo provo",69
"514","doc 658","thing arranged chance back treatment told chance this high pretty_much time processed that went_back roads full program would withdrawals start vivitrol",332
"515","doc 659","director picked jail told chance flipped",96
"516","doc 660","said vivitrol knew",105
"517","doc 662","okay clock morning time phone call chance saying find another place like what like they going take said what mean they going take well they going take want vivitrol already told",347
